x	y
0.204	0.937
0.300	0.905
0.405	0.866
0.504	0.829
0.602	0.790
0.700	0.748
1.000	0.589
1.203	0.440
1.301	0.350
1.332	0.319
1.351	0.300
1.357	0.290
1.363	0.285
1.370	0.279
1.372	0.274
1.373	0.270
1.378	0.267
1.386	0.264
1.397	0.262
1.441	0.257
1.500	0.253
1.601	0.251
1.700	0.252
1.753	0.255
1.801	0.260
1.849	0.265
1.900	0.270
1.951	0.275
2.000	0.280
2.102	0.291
2.503	0.343
3.005	0.407
3.509	0.471
4.007	0.534
4.507	0.598
5.007	0.663
5.207	0.688
5.307	0.701
5.505	0.727
5.703	0.750
6.004	0.786
6.507	0.846
7.002	0.904
7.104	0.916
7.201	0.928
7.303	0.939
7.402	0.950
7.506	0.962
7.604	0.973
7.802	0.995
7.941	1.011
8.000	1.018
