x	y
0.504	0.893
0.547	0.883
0.634	0.864
0.755	0.836
0.847	0.815
1.000	0.779
1.146	0.744
1.267	0.715
1.351	0.695
1.435	0.674
1.503	0.657
1.549	0.646
1.643	0.625
1.734	0.605
1.837	0.584
1.943	0.565
2.000	0.554
2.052	0.545
2.103	0.538
2.201	0.528
2.250	0.524
2.302	0.522
2.501	0.519
2.593	0.519
2.657	0.520
2.750	0.523
2.833	0.526
3.005	0.534
3.203	0.545
3.507	0.565
3.705	0.581
3.802	0.589
3.905	0.599
4.005	0.607
4.106	0.616
4.203	0.624
4.342	0.636
4.505	0.650
4.658	0.663
4.872	0.683
5.007	0.695
5.128	0.706
5.239	0.716
5.357	0.726
5.509	0.741
5.659	0.755
5.758	0.765
5.854	0.774
6.005	0.789
